EmpID, ProjectID, DateFrom, DateTo
116, 12, 2022-03-15, 2024-07-22
117, 11, 2023-05-01, 2025-12-15
118, 13, 2020-02-01, 2021-03-01
119, 14, 2019-06-20, 2022-11-30
120, 12, 2023-04-01, 2024-09-20
121, 15, 2022-08-25, 2023-02-28
122, 11, 2024-01-01, 2026-01-01
123, 16, 2021-07-05, 2023-08-15
124, 17, 2022-09-10, 2024-12-31
125, 18, 2023-11-01, 2025-03-30
127, 19, 2020-01-15, 2021-11-10
128, 20, 2021-03-10, 2023-04-20
129, 12, 2022-05-15, 2023-07-18
130, 13, 2019-07-01, 2020-08-15
131, 21, 2023-10-01, 2024-12-15
132, 22, 2024-02-20, 2025-05-25
133, 23, 2022-01-10, 2023-03-05
134, 24, 2020-04-01, 2022-09-30
135, 25, 2023-06-10, 2025-07-20
136, 26, 2021-08-15, 2024-01-10
137, 27, 2022-07-05, 2023-12-15
138, 28, 2021-09-01, 2023-10-30
139, 29, 2024-03-20, 2026-06-25
140, 30, 2022-11-15, 2025-02-20
101, 1, 2021-01-01, 2022-01-01
102, 1, 2021-06-01, NULL
103, 2, 2022-03-15, 2022-12-31
101, 2, 2022-01-01, 2022-11-30
104, 3, 2021-11-01, 2023-01-20
102, 3, 2021-10-15, 2022-12-15
105, 4, 2022-02-01, 2022-08-01
101, 4, 2022-05-01, NULL
106, 5, 2023-01-01, NULL
102, 5, 2023-01-10, NULL
107, 6, 2021-07-01, 2021-12-01
108, 6, 2021-08-01, 2022-02-01
109, 7, "March 15, 2022", "July 22, 2024"
110, 7, "April 01, 2022", "August 30, 2023"
111, 8, "2022/05/20", "2023/06/18"
112, 8, "2022/04/25", "2024/09/20"
143, 12, 2013-11-01, 2014-01-05
113, 12, 2009-11-01, 2013-12-01
114, 12, 2006-11-01, 2014-01-05
115, 12, 11/01/2009, 11/01/2010
218, 10, 2012-05-16, NULL
143, 10, 2009-01-01, 2012-05-27
113, 11, 2018-01-01, 2018-01-27
114, 11, 2017-01-01, 2019-01-27
115, 11, 2017-01-10, 2019-01-27
114, 11, 2021-01-10, 2028-01-27
113, 11, 2021-01-10, 2021-01-27
115, 11, 2021-01-10, 2028-01-27